class,order,family,genus,species,common_name,count_train,count_validation,count_test
Aves,Psittaciformes,Psittacidae,Barnardius,zonarius,Australian Ringneck,9,0,0
Mammalia,Rodentia,Sciuridae,Callosciurus,finlaysonii,Variable Squirrel,9,21,1
Aves,Passeriformes,Turdidae,Geokichla,gurneyi,Orange Ground-thrush,9,0,0
Aves,Passeriformes,Turdidae,Turdus,hauxwelli,Hauxwell's Thrush,9,0,0
Aves,Accipitriformes,Accipitridae,Accipiter,madagascariensis,Madagascar Sparrowhawk,9,0,0
Mammalia,Rodentia,Nesomyidae,Cricetomys,,Cricetomys Species,9,0,0
Aves,Passeriformes,Formicariidae,Formicarius,rufipectus,Rufous-breasted Antthrush,9,0,0
Aves,Passeriformes,Malaconotidae,Laniarius,luehderi,Gonolek de Lühder,9,0,0
Aves,Passeriformes,Pycnonotidae,Eurillas,latirostris,Yellow-whiskered Greenbul,9,0,0
Aves,Piciformes,Ramphastidae,Pteroglossus,beauharnaisii,Curl-crested Araçari,9,0,0
Aves,Accipitriformes,Accipitridae,Helicolestes,hamatus,Slender-billed Kite,9,0,0
Aves,Strigiformes,Strigidae,Otus,fuliginosus,Palawan Scops-owl,9,0,0
Reptilia,Testudines,Testudinidae,Gopherus,berlandieri,Berlandier's Tortoise,9,0,0
Aves,Galliformes,Phasianidae,Haematortyx,sanguiniceps,Crimson-headed Partridge,9,6,0
Aves,Passeriformes,Tyrannidae,Empidonax,oberholseri,American Dusky Flycatcher,9,0,0
Mammalia,Lagomorpha,Leporidae,Lepus,alleni,Antelope Jackrabbit,9,0,0
Aves,Passeriformes,Acanthizidae,Pyrrholaemus,sagittatus,Speckled Warbler,9,0,0
Aves,Galliformes,Phasianidae,Scleroptila,afra,Grey-winged Francolin,9,0,0
Aves,Piciformes,Picidae,Colaptes,punctigula,Spot-breasted Woodpecker,9,0,0
Reptilia,Squamata,Agamidae,Pogona,vitticeps,Central Bearded Dragon,9,5,0
Mammalia,Rodentia,Sciuridae,Microsciurus,,Microsciurus Species,9,0,0
Aves,Passeriformes,Parulidae,Myiothlypis,coronata,Russet-crowned Warbler,9,0,0
Aves,Passeriformes,Tyrannidae,Tyrannus,melancholicus,Tropical Kingbird,9,0,0
Aves,Passeriformes,Sittidae,Sitta,europaea,Nuthatch,9,0,2
Mammalia,Cetartiodactyla,Bovidae,Tragelaphus,eurycerus,Bongo,9,5,0
Aves,Piciformes,Picidae,Melanerpes,uropygialis,Gila Woodpecker,9,0,0
Mammalia,Primates,Galagidae,Galagoides,demidoff,Demidoff's Dwarf Galago,9,0,0
Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,,Nyctibius Species,9,0,0
Aves,Pelecaniformes,Ardeidae,Botaurus,pinnatus,Pinnated Bittern,9,0,0
